Selection	Signature_file
acute_myeloid_leukaemia	acute_myeloid_leukaemia_v2_Signature.txt
B_cell_leukemia	B_cell_leukemia_v2_Signature.txt
B_cell_lymphoma	B_cell_lymphoma_v2_Signature.txt
biliary_tract	biliary_tract_v2_Signature.txt
bladder	bladder_v2_Signature.txt
breast	breast_v2_Signature.txt
Burkitt_lymphoma	Burkitt_lymphoma_v2_Signature.txt
chronic_myeloid_leukaemia	chronic_myeloid_leukaemia_v2_Signature.txt
endometrium	endometrium_v2_Signature.txt
Glioma	Glioma_v2_Signature.txt
haematopoietic_neoplasm.other	haematopoietic_neoplasm.other_v2_Signature.txt
head_and_neck	head.and.neck_v2_Signature.txt
Hodgkin_lymphoma	Hodgkin_lymphoma_v2_Signature.txt
kidney	kidney_v2_Signature.txt
large_intestine	large_intestine_v2_Signature.txt
liver	liver_v2_Signature.txt
lung_NSCLC_adenocarcinoma	lung_NSCLC_adenocarcinoma_v2_Signature.txt
lung_NSCLC_large_cell	lung_NSCLC_large.cell_v2_Signature.txt
lung_NSCLC_not_specified	lung_NSCLC_not.specified_v2_Signature.txt
lung_NSCLC_squamous_cell_carcinoma	lung_NSCLC_squamous_cell_carcinoma_v2_Signature.txt
lung_small_cell_carcinoma	lung_small_cell_carcinoma_v2_Signature.txt
lymphoblastic_leukemia	lymphoblastic_leukemia_v2_Signature.txt
lymphoblastic_T_cell_leukaemia	lymphoblastic_T_cell_leukaemia_v2_Signature.txt
lymphoid_neoplasm_other	lymphoid_neoplasm.other_v2_Signature.txt
melanoma	melanoma_v2_Signature.txt
mesothelioma	mesothelioma_v2_Signature.txt
MethylCIBERSORT_KoestlerRuns	MethylCIBERSORT_KoestlerRuns_v2_Signature.txt
Myeloma	Myeloma_v2_Signature.txt
neuroblastoma	neuroblastoma_v2_Signature.txt
not_specified	not.specified_v2_Signature.txt
oesophagus	oesophagus_v2_Signature.txt
ovary	ovary_v2_Signature.txt
pancreas	pancreas_v2_Signature.txt
prostate	prostate_v2_Signature.txt
sarcoma	sarcoma_v2_Signature.txt
soft_tissue_other	soft_tissue_other_v2_Signature.txt
stomach	stomach_v2_Signature.txt
T_cell_leukemia	T_cell_leukemia_v2_Signature.txt
thyroid	thyroid_v2_Signature.txt
